Trace,Prefetcher,IPCI,Delta IPCI,Coverage,Overprediction,Accuracy,MPKI
Average,bop,1.8419240027257442,-,0.6644144431024382,0.16291910799106518,0.5606826916219264,5.785674963819298
Average,spp,1.4836185723180102,-,0.3934011642930686,0.10320289537288038,0.7925782155332084,10.452515494336332
Average,vldp,2.0087336565660525,-,0.7296781470562427,0.2293091377442949,0.4927930137569297,4.668259331239376
Average,ampm,1.7122207460498773,-,0.6119973094709118,0.3255143639945871,0.6542871418930503,6.717581187011914
Average,sms,1.6670572259181005,-,0.6046282724696952,0.31110816446937556,0.53198192769787,6.821190603681407
Average,bingo_thresh020,1.9517810482348847,-0.056952608331167776,0.7272027346799788,0.523226181569377,0.45801649655087173,4.707646875
Average,no,1.0,-,0.0,0.0,-,17.2817529629836
mix1,bop,1.8419240027257442,-,0.6644144431024382,0.16291910799106518,0.5606826916219264,5.785674963819298
mix1,spp,1.4836185723180102,-,0.3934011642930686,0.10320289537288038,0.7925782155332084,10.452515494336332
mix1,vldp,2.0087336565660525,-,0.7296781470562427,0.2293091377442949,0.4927930137569297,4.668259331239376
mix1,ampm,1.7122207460498773,-,0.6119973094709118,0.3255143639945871,0.6542871418930503,6.717581187011914
mix1,sms,1.6670572259181005,-,0.6046282724696952,0.31110816446937556,0.53198192769787,6.821190603681407
mix1,bingo_thresh020,1.9517810482348847,-0.056952608331167776,0.7272027346799788,0.523226181569377,0.45801649655087173,4.707646875
mix1,no,1.0,-,0.0,0.0,-,17.2817529629836
