Trace,Prefetcher,IPCI,Delta IPCI,Coverage,Overprediction,Accuracy,MPKI
Average,bop,1.9544339524350318,-,0.7086006475887171,0.035658255716807835,0.7550024126306119,4.597256206852032
Average,spp,1.6581248339588512,-,0.5034954498316382,0.1427251311162921,0.6676596875179996,7.828796752649144
Average,vldp,1.8499473093974939,-,0.6779942567377288,0.02520631144861491,0.8169489328653208,5.079184375
Average,ampm,1.4021721002322152,-,0.35106231358064083,0.39854360713197096,0.5538080241918862,10.236015465005902
Average,sms,1.6399728305794539,-,0.5672149133235534,0.3968241842149286,0.41658272097520593,6.826490625
Average,bingo_thresh020,1.9174012250205024,-0.037032727414529454,0.6941452169115634,0.23971413854377036,0.516832670639741,4.824459314693752
Average,no,1.0,-,0.0,0.0,-,15.773918700699259
mix1,bop,1.9544339524350318,-,0.7086006475887171,0.035658255716807835,0.7550024126306119,4.597256206852032
mix1,spp,1.6581248339588512,-,0.5034954498316382,0.1427251311162921,0.6676596875179996,7.828796752649144
mix1,vldp,1.8499473093974939,-,0.6779942567377288,0.02520631144861491,0.8169489328653208,5.079184375
mix1,ampm,1.4021721002322152,-,0.35106231358064083,0.39854360713197096,0.5538080241918862,10.236015465005902
mix1,sms,1.6399728305794539,-,0.5672149133235534,0.3968241842149286,0.41658272097520593,6.826490625
mix1,bingo_thresh020,1.9174012250205024,-0.037032727414529454,0.6941452169115634,0.23971413854377036,0.516832670639741,4.824459314693752
mix1,no,1.0,-,0.0,0.0,-,15.773918700699259
